period,LAD,SHEF_C_CODE,report_count,user_count,average
2016,,C1,2,2,1.0
2016,,C2,5,5,1.0
2016,,C3,11,11,1.0
2016,,C5,2,2,1.0
2016,,C7,11,9,1.2222222222222223
2016,,C8,1,1,1.0
2016,E06000023,C1,661,442,1.495475113122172
2016,E06000023,C2,232,148,1.5675675675675675
2016,E06000023,C3,301,199,1.5125628140703518
2016,E06000023,C5,1,1,1.0
2016,E06000023,C7,1071,656,1.6326219512195121
2016,E07000061,C1,14,14,1.0
2016,E07000061,C2,16,16,1.0
2016,E07000061,C3,63,43,1.4651162790697674
2016,E07000061,C4,1,1,1.0
2016,E07000061,C5,13,12,1.0833333333333333
2016,E07000061,C7,502,289,1.7370242214532872
2016,E07000061,C8,18,16,1.125
2016,E07000062,C1,29,21,1.380952380952381
2016,E07000062,C2,27,24,1.125
2016,E07000062,C3,72,60,1.2
2016,E07000062,C4,1,1,1.0
2016,E07000062,C5,17,16,1.0625
2016,E07000062,C6,3,3,1.0
2016,E07000062,C7,384,252,1.5238095238095237
2016,E07000062,C8,16,15,1.0666666666666667
2016,E07000063,C1,39,29,1.3448275862068966
2016,E07000063,C2,52,44,1.1818181818181819
2016,E07000063,C3,141,118,1.194915254237288
2016,E07000063,C4,2,1,2.0
2016,E07000063,C5,27,24,1.125
2016,E07000063,C6,6,5,1.2
2016,E07000063,C7,655,475,1.3789473684210527
2016,E07000063,C8,15,12,1.25
2016,E07000064,C1,48,44,1.0909090909090908
2016,E07000064,C2,88,73,1.2054794520547945
2016,E07000064,C3,412,285,1.4456140350877194
2016,E07000064,C4,9,8,1.125
2016,E07000064,C5,54,48,1.125
2016,E07000064,C6,1,1,1.0
2016,E07000064,C7,838,573,1.462478184991274
2016,E07000064,C8,29,28,1.0357142857142858
2016,E07000065,C1,66,52,1.2692307692307692
2016,E07000065,C2,87,69,1.2608695652173914
2016,E07000065,C3,334,232,1.4396551724137931
2016,E07000065,C5,41,34,1.2058823529411764
2016,E07000065,C7,1513,871,1.7370838117106773
2016,E07000065,C8,24,24,1.0
2016,E07000089,C1,6,6,1.0
2016,E07000089,C2,10,10,1.0
2016,E07000089,C3,297,220,1.35
2016,E07000089,C4,16,15,1.0666666666666667
2016,E07000089,C5,129,117,1.1025641025641026
2016,E07000089,C7,424,344,1.2325581395348837
2016,E07000089,C8,182,170,1.0705882352941176
2016,E07000099,C3,1,1,1.0
2016,E07000099,C5,1,1,1.0
2016,E07000165,C2,37,37,1.0
2016,E07000165,C3,193,156,1.2371794871794872
2016,E07000165,C4,4,4,1.0
2016,E07000165,C5,62,58,1.0689655172413792
2016,E07000165,C6,12,12,1.0
2016,E07000165,C8,144,135,1.0666666666666667
2016,E07000177,,44,32,1.375
